
0.951 ± 0.002,[0.95054172 0.95297116 0.94847228],beta 0.85,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 3,epochs 2000,lr 0.0001,miniid 2,m 5
0.958 ± 0.004,[0.96206317 0.95279791 0.95825792],beta 0.85,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 3,epochs 2000,lr 0.0001,miniid 2,m 5
0.956 ± 0.000,[0.95593117],beta 0.5,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.927 ± 0.000,[0.92689766],beta 0.8,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset DE,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.923 ± 0.000,[0.92324098],beta 0.5,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset DE,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.929 ± 0.000,[0.92936734],beta 0.8,temperature 1,nfactor 5,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset DE,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.960 ± 0.000,[0.96009354],beta 0.8,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.947 ± 0.000,[0.94650827],beta 0.8,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.936 ± 0.000,[0.93579066],beta 0.8,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset DE,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.939 ± 0.000,[0.93925551],beta 0.5,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.948 ± 0.000,[0.94766496],beta 0.5,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.944 ± 0.000,[0.94406819],beta 0.5,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.948 ± 0.000,[0.94834184],beta 0.5,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.932 ± 0.000,[0.93183005],beta 0.5,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset DE,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.963 ± 0.000,[0.96276875],beta 0.8,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
