0.946 ± 0.000,[0.94584639],beta 0.6,temperature 1,nfactor 5,nhidden 64,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 1,epochs 2000,lr 0.001,miniid 0,m 5
0.946 ± 0.001,[0.94546222 ,0.94707426,],beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 3,m 5
0.955 ± 0.002,[0.95286835 ,0.9563563 ,],beta 0.7,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 3,m 5
0.948 ± 0.001,[0.94698598 ,0.94936703,],beta 0.8,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 3,m 5
0.949 ± 0.000,[0.94921849 ,0.94886869,],beta 0.9,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 3,m 5
0.927 ± 0.001,[0.92612173 ,0.92829217,],beta 0.1,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 4,m 5
0.937 ± 0.001,[0.93628588 ,0.93813415,],beta 0.2,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 4,m 5
0.944 ± 0.003,[0.94732801 ,0.94106998,],beta 0.3,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 4,m 5
0.946 ± 0.003,[0.94884637 ,0.94265754,],beta 0.4,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 4,m 5
0.954 ± 0.003,[0.95089665 ,0.95683575,],beta 0.5,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 4,m 5
0.949 ± 0.001,[0.94945485 ,0.94837385,],beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 4,m 5
0.954 ± 0.004,[0.95741448 ,0.94968092,],beta 0.7,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 4,m 5
0.953 ± 0.000,[0.95320512 ,0.95261329,],beta 0.8,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 4,m 5
0.953 ± 0.002,[0.95542001 ,0.95110981,],beta 0.9,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 4,m 5
0.928 ± 0.001,[0.92675788 ,0.92835398,],beta 0.1,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 5,m 5
0.934 ± 0.000,[0.93404828 ,0.93439918,],beta 0.2,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 5,m 5
0.943 ± 0.002,[0.94151606 ,0.94527521,],beta 0.3,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 5,m 5
0.945 ± 0.003,[0.94783018 ,0.94185658,],beta 0.4,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 5,m 5
0.947 ± 0.002,[0.94915695 ,0.9441764 ,],beta 0.5,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 5,m 5
