0.876 ± 0.015   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 2,epochs 2000,heads 5,m 5,alpha 0.4,lr 0.001
0.880 ± 0.010   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 2,epochs 2000,heads 5,m 5,alpha 0.5,lr 0.001
0.885 ± 0.004   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 2,epochs 2000,heads 5,m 5,alpha 0.6,lr 0.001
0.865 ± 0.012   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 2,epochs 2000,heads 5,m 5,alpha 0.7,lr 0.001
0.876 ± 0.013   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 2,epochs 2000,heads 5,m 5,alpha 0.8,lr 0.001
0.880 ± 0.008   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 2,epochs 2000,heads 5,m 5,alpha 0.9,lr 0.001
0.888 ± 0.000   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 2,epochs 2000,heads 5,m 5,alpha 1.0,lr 0.001
0.896 ± 0.000   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 2,epochs 2000,heads 5,m 5,alpha 0.0,lr 0.001
0.898 ± 0.000   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 2,epochs 2000,heads 5,m 5,alpha 0.1,lr 0.001
0.901 ± 0.004   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 2,epochs 2000,heads 5,m 5,alpha 0.2,lr 0.001
0.901 ± 0.003   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 2,epochs 2000,heads 5,m 5,alpha 0.3,lr 0.001
0.903 ± 0.001   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 2,epochs 2000,heads 5,m 5,alpha 0.4,lr 0.001
0.899 ± 0.001   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 2,epochs 2000,heads 5,m 5,alpha 0.5,lr 0.001
0.887 ± 0.011   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 2,epochs 2000,heads 5,m 5,alpha 0.6,lr 0.001
0.905 ± 0.002   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 2,epochs 2000,heads 5,m 5,alpha 0.7,lr 0.001
0.900 ± 0.000   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 2,epochs 2000,heads 5,m 5,alpha 0.8,lr 0.001
0.893 ± 0.001   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 2,epochs 2000,heads 5,m 5,alpha 0.9,lr 0.001
0.906 ± 0.004   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 2,epochs 2000,heads 5,m 5,alpha 1.0,lr 0.001
0.868 ± 0.018   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 10,epochs 2000,heads 5,m 5,alpha 0.8,lr 0.001
0.904 ± 0.002   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset ES,run 10,epochs 2000,heads 5,m 5,alpha 0.0,lr 0.001
0.900 ± 0.001   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset FR,run 10,epochs 2000,heads 5,m 5,alpha 0.0,lr 0.001
0.884 ± 0.009   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 10,epochs 2000,heads 5,m 5,alpha 0.8,lr 0.001
0.875 ± 0.010   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 10,epochs 2000,heads 5,m 5,alpha 1.0,lr 0.001
0.890 ± 0.013   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 10,epochs 2000,heads 5,m 5,alpha 0.7,lr 0.001
0.868 ± 0.009   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 2,epochs 2000,heads 5,m 5,alpha 0.8,lr 0.001
